 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
911,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
912,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
913,6,255,8.4853,1.0000,1.8091,0.5528,0.8000
914,5,255,9.0711,0.7636,1.6529,0.6050,0.8333
915,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
916,13,255,11.8995,1.0000,1.1592,0.8627,0.8966
917,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
918,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
919,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
920,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
921,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
922,3,255,7.0711,0.7540,2.7020,0.3701,0.6667
923,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
924,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
925,56,255,49.5980,0.2861,3.0491,0.3280,0.5600
926,4,255,7.0711,1.0000,2.0313,0.4923,0.8000
927,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
928,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
929,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
930,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
931,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
932,15,255,17.5563,0.6116,1.9281,0.5186,0.7317
933,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
934,10,255,13.3137,0.7089,1.7185,0.5819,0.7407
935,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
936,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
937,10,255,10.4853,1.0000,1.3273,0.7534,0.9091
938,4,255,8.4853,0.6981,2.6538,0.3768,0.6667
939,18,255,15.5563,0.9347,1.8623,0.5370,0.8182
940,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
941,42,255,28.6274,0.6440,1.0623,0.9413,0.7925
942,105,255,66.1838,0.3012,2.1270,0.4702,0.5615
943,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
944,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
945,78,255,58.4264,0.2871,1.4861,0.6729,0.5714
946,10,255,13.3137,0.7089,2.3684,0.4222,0.7143
947,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
948,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
949,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
950,4,255,7.0711,1.0000,2.0313,0.4923,0.8000
951,11,255,11.8995,0.9762,1.0351,0.9661,0.8462
952,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
953,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
954,4,255,8.4853,0.6981,1.6367,0.6110,0.7273
955,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
956,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
957,3,255,7.0711,0.7540,2.7020,0.3701,0.6667
958,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
959,31,255,37.4558,0.2777,3.4641,0.2887,0.5794
960,13,255,13.3137,0.9216,1.8719,0.5342,0.8667
961,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
962,5,255,11.3137,0.4909,3.9862,0.2509,0.5882
963,10,255,11.8995,0.8875,1.9208,0.5206,0.8000
964,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
965,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
966,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
967,4,255,7.6569,0.8574,2.0313,0.4923,0.8000
968,38,255,30.6274,0.5091,1.9035,0.5253,0.6909
969,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
970,152,255,46.2843,0.8916,1.1870,0.8424,0.9075
971,7,255,12.4853,0.5643,2.2122,0.4520,0.6667
972,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
973,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
974,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
975,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
976,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
977,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
978,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
979,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
980,8,255,10.4853,0.9144,1.7905,0.5585,0.8000
981,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
982,17,255,15.8995,0.8451,1.7579,0.5689,0.8500
983,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
984,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
985,5,255,8.4853,0.8727,2.3082,0.4332,0.7692
986,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
987,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
988,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
989,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
990,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
