 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1769,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1770,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1771,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1772,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
1773,8,255,9.8995,1.0000,1.1952,0.8367,0.8000
1774,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1775,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1776,59,255,27.5563,0.9764,1.1086,0.9020,0.9147
1777,17,255,14.4853,1.0000,1.1339,0.8819,0.9189
1778,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1779,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1780,15,255,13.3137,1.0000,1.2948,0.7723,0.8571
1781,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1782,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
1783,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
1784,159,255,53.0122,0.7110,1.3037,0.7670,0.8325
1785,4,255,7.6569,0.8574,2.0313,0.4923,0.8000
1786,25,255,18.1421,0.9545,1.2390,0.8071,0.8621
1787,10,255,13.8995,0.6504,2.8578,0.3499,0.7692
1788,8,255,11.0711,0.8202,2.5640,0.3900,0.8889
1789,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1790,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
1791,5,255,9.6569,0.6738,2.1882,0.4570,0.7692
1792,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1793,154,255,45.6985,0.9267,1.1230,0.8905,0.9277
1794,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1795,7,255,9.8995,0.8976,1.8954,0.5276,0.7368
1796,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1797,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1798,8,255,10.4853,0.9144,1.1952,0.8367,0.8000
1799,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1800,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1801,11,255,11.8995,0.9762,1.4496,0.6898,0.8148
1802,137,255,44.2843,0.8779,1.1725,0.8529,0.9133
1803,16,255,13.3137,1.0000,1.2089,0.8272,0.8889
1804,142,255,43.6985,0.9345,1.0672,0.9370,0.9191
1805,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1806,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1807,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
1808,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1809,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1810,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
